video_id,caption,tags,creator_id
1,"Watch the latest dance moves","#fun #music #dance",101
2,"Top 10 food recipes to try","#food #fashion #fun",102
3,"How to style fashion trends","#dance #fashion #fun",103
4,"Unbelievable street performances","#music #food #dance",104
5,"Funny moments compilation","#fun #music #fashion",105
6,"Travel the world with these tips","#fashion #dance #music",106
7,"Behind the scenes with the stars","#food #fashion #music",107
8,"Mastering food art in minutes","#fun #food #dance",108
9,"Concert highlights of the year","#music #dance #fashion",109
10,"Top fashion tips for 2024","#food #fun #fashion",110
